area,isi,sess,ori,cell_id,weight,bad_fit
V1,250,0,1,200720_003_100,0.49828789656902206,False
V1,250,0,1,200720_003_2,0.5867738739416168,False
V1,250,0,1,200720_003_34,0.5613661902637688,False
V1,250,0,1,200720_003_44,0.9030341202832632,False
V1,250,0,1,200720_003_61,-0.15881724050104928,False
V1,250,0,1,200720_003_66,1.4979502753827738,False
V1,250,0,1,200720_003_7,2.284803576609008,False
V1,250,0,1,200720_003_70,0.4943861181693361,False
V1,250,0,1,200720_003_81,-0.9700420000485628,False
V1,250,0,1,200720_003_84,-0.8440891991789066,False
V1,250,0,2,200720_003_100,0.01719187698476521,False
V1,250,0,2,200720_003_2,0.5904195928027107,False
V1,250,0,2,200720_003_34,-0.11248427347783618,False
V1,250,0,2,200720_003_44,0.16936479654508219,False
V1,250,0,2,200720_003_61,0.00619969228274897,False
V1,250,0,2,200720_003_66,-0.8169842512190364,False
V1,250,0,2,200720_003_7,1.2998971935087411,False
V1,250,0,2,200720_003_70,2.095482702834797,False
V1,250,0,2,200720_003_81,0.2690049567722994,False
V1,250,0,2,200720_003_84,0.5190046292935193,False
V1,250,0,3,200720_003_100,-0.5713021814035204,False
V1,250,0,3,200720_003_2,-1.6223041174204655,False
V1,250,0,3,200720_003_34,-0.10259969939602342,False
V1,250,0,3,200720_003_44,0.079584004726172,False
V1,250,0,3,200720_003_61,-0.20094517030481285,False
V1,250,0,3,200720_003_66,0.46451473457744896,False
V1,250,0,3,200720_003_7,-2.5647823127352427,False
V1,250,0,3,200720_003_70,0.017945645578109293,False
V1,250,0,3,200720_003_81,0.2230626785991916,False
V1,250,0,3,200720_003_84,-0.44273948689557585,False
V1,250,0,4,200720_003_100,0.43058415552901863,False
V1,250,0,4,200720_003_2,-1.91575463829769,False
V1,250,0,4,200720_003_34,-0.06707903347526667,False
V1,250,0,4,200720_003_44,0.9459751959204539,False
V1,250,0,4,200720_003_61,-0.22422875901103367,False
V1,250,0,4,200720_003_66,0.2744842492344439,False
V1,250,0,4,200720_003_7,0.5078679285032308,False
V1,250,0,4,200720_003_70,1.3027674469953556,False
V1,250,0,4,200720_003_81,0.40085160448437307,False
V1,250,0,4,200720_003_84,-0.5028134367474593,False
V1,250,0,7,200720_003_100,-0.17719278356256263,False
V1,250,0,7,200720_003_2,0.21017740664411555,False
V1,250,0,7,200720_003_34,0.5125112557501224,False
V1,250,0,7,200720_003_44,0.11827080445998028,False
V1,250,0,7,200720_003_61,-0.6895434237838067,False
V1,250,0,7,200720_003_66,3.4230154651696125,False
V1,250,0,7,200720_003_7,0.8442665884480398,False
V1,250,0,7,200720_003_70,0.23129164799140334,False
V1,250,0,7,200720_003_81,0.5618530296639523,False
V1,250,0,7,200720_003_84,-0.059975506538424206,False
V1,250,0,6,200720_003_100,0.4186580498663375,False
V1,250,0,6,200720_003_2,2.067285658595715,False
V1,250,0,6,200720_003_34,-0.8807647638775364,False
V1,250,0,6,200720_003_44,1.5014951519361333,False
V1,250,0,6,200720_003_61,-1.160759665961126,False
V1,250,0,6,200720_003_66,-1.0028703541989596,False
V1,250,0,6,200720_003_7,0.6019332342916073,False
V1,250,0,6,200720_003_70,0.10957900970902301,False
V1,250,0,6,200720_003_81,-0.8790979294747814,False
V1,250,0,6,200720_003_84,0.2557380758152288,False
V1,250,0,5,200720_003_100,0.7781510673249743,False
